year,month,timestamp,price
2007,7,2007-07-26 19:59:41.733,77.46
2007,8,2007-08-23 19:59:23.973,80.73
2007,9,2007-09-26 19:54:33.607,95.73
2007,10,2007-10-31 19:44:13.847,83.67
2007,11,2007-11-20 19:53:14.187,84.69
2007,12,2007-12-28 19:53:26.830,93.28
2008,1,2008-01-31 19:54:45.123,81.88
2008,2,2008-02-29 17:43:31.207,56.08
2008,3,2008-03-31 18:11:18.543,72.07
2008,4,2008-04-30 19:50:31.567,73.14
2008,5,2008-05-30 19:42:28.193,76.72
2008,6,2008-06-30 19:13:59.777,66.43
2008,7,2008-07-31 19:55:39.413,51.41
2008,8,2008-08-29 18:20:04.823,76.49
2008,9,2008-09-30 19:56:52.027,48.37
2008,10,2008-10-31 19:41:27.080,74.7
2008,11,2008-11-28 14:51:10.327,56.3
2008,12,2008-12-31 18:47:38.813,68.05
2009,1,2009-01-30 19:59:21.077,81.4
2009,2,2009-02-27 19:57:27.250,60.67
2009,3,2009-03-31 19:59:44.393,69.12
2009,4,2009-04-30 19:59:47.870,94.75
2009,5,2009-05-29 19:59:43.870,78.1
2009,6,2009-06-30 19:53:19.383,64.37
2009,7,2009-07-31 19:56:24.100,52.15
2009,8,2009-08-31 18:05:55.157,53.36
2009,9,2009-09-30 19:42:36.557,141.82
2009,10,2009-10-30 19:59:02.380,82.36
2009,11,2009-11-30 19:59:11.587,132.23
2009,12,2009-12-31 18:55:52.523,83.34
2010,1,2010-01-29 19:59:16.633,122.54
2010,2,2010-02-26 19:52:08.190,155.46
2010,3,2010-03-31 18:37:05.633,148.811
2010,4,2010-04-30 19:59:26.943,117.21
2010,5,2010-05-28 19:54:33.183,146.11
2010,6,2010-06-30 19:54:11.980,127.4
2010,7,2010-07-30 19:21:28.650,157.5
2010,8,2010-08-31 19:34:49.243,178.03
2010,9,2010-09-30 19:22:20.587,178.96
2010,10,2010-10-29 19:59:59.000,133.94
2010,11,2010-11-30 19:59:55.087,181.67
2010,12,2010-12-31 19:58:32.703,117.12
2011,1,2011-01-31 19:52:09.147,199.18
2011,2,2011-02-28 19:42:00.297,185.34
2011,3,2011-03-31 19:59:32.887,194.83
2011,4,2011-04-29 19:54:14.190,197.27
2011,5,2011-05-31 19:58:17.767,205.05
2011,6,2011-06-30 19:58:03.907,167.19
2011,7,2011-07-29 19:59:30.663,189.68
2011,8,2011-08-31 19:59:58.667,170.574
2011,9,2011-09-30 19:58:55.037,195.18
2011,10,2011-10-31 19:59:57.627,185.62
2011,11,2011-11-30 19:54:27.760,194.13
2011,12,2011-12-30 19:59:53.353,178.0
2012,1,2012-01-31 19:59:58.850,250.46
2012,2,2012-02-29 19:59:08.060,254.95
2012,3,2012-03-30 19:49:34.340,186.52
2012,4,2012-04-30 19:58:48.027,237.805
2012,5,2012-05-31 19:21:58.508,246.83
2012,6,2012-06-29 19:59:47.475,189.5599
2012,7,2012-07-31 19:59:57.583,223.08
2012,8,2012-08-31 18:22:58.548,186.82
2012,9,2012-09-28 19:21:17.263,199.87
2012,10,2012-10-31 18:30:52.395,232.07
2012,11,2012-11-30 19:57:34.310,232.74
2012,12,2012-12-31 19:59:03.548,220.1
2013,1,2013-01-31 19:58:20.819,313.76
2013,2,2013-02-28 19:59:09.560,280.61
2013,3,2013-03-28 19:59:42.965,391.69
2013,4,2013-04-30 19:59:50.894,326.31
2013,5,2013-05-31 19:59:22.485,264.71
2013,6,2013-06-28 19:51:24.339,259.87
2013,7,2013-07-31 19:59:04.102,258.75
2013,8,2013-08-30 19:55:32.215,264.31
2013,9,2013-09-30 18:53:34.396,266.14
2013,10,2013-10-31 18:24:01.592,255.0
2013,11,2013-11-29 16:42:04.852,311.85
2013,12,2013-12-31 19:55:19.678,258.046
2014,1,2014-01-31 19:59:36.320,323.65
2014,2,2014-02-28 19:59:56.710,317.08
2014,3,2014-03-31 19:59:55.190,329.17
2014,4,2014-04-30 19:57:06.476,331.89
2014,5,2014-05-30 19:45:40.584,299.94
2014,6,2014-06-30 19:59:54.606,289.63
2014,7,2014-07-31 19:57:24.503,308.2
2014,8,2014-08-29 19:55:51.753,288.66
2014,9,2014-09-30 19:48:19.382,320.462
2014,10,2014-10-31 19:59:55.298,300.13
2014,11,2014-11-28 16:59:42.391,296.04
2014,12,2014-12-31 19:56:02.907,315.9732
2015,1,2015-01-30 19:57:33.571,477.86
2015,2,2015-02-27 19:57:59.302,543.38
2015,3,2015-03-31 19:55:59.473,380.03
2015,4,2015-04-30 19:52:07.970,644.74
2015,5,2015-05-29 18:33:57.240,430.35
2015,6,2015-06-30 19:23:07.660,488.8484
2015,7,2015-07-31 19:58:39.744,297.93
2015,8,2015-08-31 19:57:58.503,530.38
2015,9,2015-09-30 19:59:30.038,443.25
2015,10,2015-10-30 19:59:57.893,356.0
2015,11,2015-11-30 19:59:51.298,444.63
2015,12,2015-12-31 19:59:21.519,298.87
2016,1,2016-01-29 19:59:22.767,787.65
2016,2,2016-02-29 19:57:17.920,576.88
2016,3,2016-03-31 19:59:53.216,746.23
2016,4,2016-04-29 19:57:11.023,676.26
2016,5,2016-05-31 19:59:02.299,822.341
2016,6,2016-06-30 19:57:54.744,764.6234
2016,7,2016-07-29 19:59:50.662,775.75
2016,8,2016-08-31 19:54:18.767,529.61
2016,9,2016-09-30 19:59:54.525,700.0
2016,10,2016-10-31 19:58:55.690,596.9
2016,11,2016-11-30 19:59:49.820,842.05
2016,12,2016-12-30 19:59:57.381,759.0
2017,1,2017-01-31 19:59:45.978,829.5
2017,2,2017-02-28 19:52:20.183,957.7
2017,3,2017-03-31 19:59:50.223,1128.99
2017,4,2017-04-28 19:59:53.244,1080.98
2017,5,2017-05-31 19:59:09.324,810.0
2017,6,2017-06-30 19:58:35.178,804.0
2017,7,2017-07-31 19:59:54.505,954.885
2017,8,2017-08-31 19:59:49.488,757.63
2017,9,2017-09-29 19:59:57.832,905.0
2017,10,2017-10-31 19:56:00.271,1009.3103
2017,11,2017-11-30 19:59:38.315,795.065
2017,12,2017-12-29 19:59:43.742,850.0001
2018,1,2018-01-31 19:59:58.469,1726.19
2018,2,2018-02-28 19:59:40.833,1574.6
2018,3,2018-03-29 19:59:54.170,1605.01
2018,4,2018-04-30 19:59:50.263,1632.83
2018,5,2018-05-31 19:59:56.687,1409.921
2018,6,2018-06-29 19:59:32.368,1963.39
2018,7,2018-07-31 19:59:59.730,1710.3
2018,8,2018-08-31 19:59:51.509,1451.055
2018,9,2018-09-28 19:59:55.636,1501.0
2018,10,2018-10-31 19:59:59.758,1422.0
2018,11,2018-11-30 19:59:49.524,1593.0
2018,12,2018-12-31 19:59:59.089,1680.5
2019,1,2019-01-31 19:59:59.685,1851.98
2019,2,2019-02-28 19:59:50.805,1774.8818
2019,3,2019-03-29 19:59:40.478,1827.39
2019,4,2019-04-30 19:59:54.507,1979.631
2019,5,2019-05-31 19:59:54.108,1773.65
2019,6,2019-06-28 19:59:59.762,1750.98
2019,7,2019-07-31 19:59:55.278,1846.08
2019,8,2019-08-30 19:59:51.358,1725.45
2019,9,2019-09-30 19:58:41.974,1827.61
2019,10,2019-10-31 19:58:45.007,1708.7618
2019,11,2019-11-29 16:59:53.728,1780.475
2019,12,2019-12-31 19:59:45.554,1744.0
2020,1,2020-01-31 19:59:53.465,2996.01
2020,2,2020-02-28 19:59:34.337,1900.6342
2020,3,2020-03-31 19:59:55.294,3150.92
2020,4,2020-04-30 19:59:59.336,3230.79
2020,5,2020-05-29 19:59:57.758,3082.08
2020,6,2020-06-30 19:59:53.046,2015.0287
2020,7,2020-07-31 19:59:59.909,3156.01
2020,8,2020-08-31 19:59:55.691,1796.6
2020,9,2020-09-30 19:59:55.601,2117.128
2020,10,2020-10-30 19:59:59.021,3145.01
2020,11,2020-11-30 19:59:59.665,2981.47
2020,12,2020-12-31 19:59:52.924,3115.75
2021,1,2021-01-29 19:59:57.927,3040.11
2021,2,2021-02-26 19:59:56.352,3385.025
2021,3,2021-03-31 19:59:55.294,3050.0
2021,4,2021-04-30 19:59:55.767,3391.061
2021,5,2021-05-28 19:59:55.488,3098.55
2021,6,2021-06-30 19:59:56.345,3315.35
