year,month,timestamp,price
2008,10,2008-10-31 14:58:42,29.9
2008,11,2008-11-28 12:15:21,26.35
2008,12,2008-12-30 12:10:21,28.05
2009,1,2009-01-30 15:24:08,23.97
2009,2,2009-02-27 15:01:23,25.0
2009,3,2009-03-31 11:50:53,35.71
2009,4,2009-04-30 11:35:36,46.25
2009,5,2009-05-29 15:24:41,28.6
2009,6,2009-06-29 13:34:24,51.05
2009,7,2009-07-31 13:24:32,28.5
2009,8,2009-08-31 11:04:00,41.05
2009,9,2009-09-30 10:07:30,37.2
2009,10,2009-10-30 15:14:37,48.95
2009,11,2009-11-30 11:19:27,49.15
2009,12,2009-12-31 14:36:47,34.4
2010,1,2010-01-29 14:48:01,49.59
2010,2,2010-02-26 13:59:49,40.99
2010,3,2010-03-31 14:46:42,79.15
2010,4,2010-04-30 08:00:08,46.15
2010,5,2010-05-27 14:50:13,63.95
2010,6,2010-06-30 15:45:51,76.2
2010,7,2010-07-30 14:53:00,78.6
2010,8,2010-08-31 15:29:58,83.65
2010,9,2010-09-30 13:05:22,76.05
2010,10,2010-10-29 12:53:57,46.4
2010,11,2010-11-30 15:41:45,52.7
2010,12,2010-12-30 14:30:31,46.45
2011,1,2011-01-31 16:00:15,75.7
2011,2,2011-02-28 15:08:47,78.06
2011,3,2011-03-31 11:34:37,72.81
2011,4,2011-04-29 15:55:15,87.9
2011,5,2011-05-27 15:48:35,84.15
2011,6,2011-06-30 15:42:05,72.42
2011,7,2011-07-29 15:44:43,78.85
2011,8,2011-08-31 15:41:36,70.3
2011,9,2011-09-30 15:48:32,77.85
2011,10,2011-10-31 15:45:25,101.74
2011,11,2011-11-30 15:28:59,80.45
2011,12,2011-12-30 15:14:04,72.0868
2012,1,2012-01-31 14:02:45,89.41
2012,2,2012-02-29 15:53:44,68.15
2012,3,2012-03-30 15:33:03,82.1
2012,4,2012-04-30 14:55:59,74.33
2012,5,2012-05-31 15:56:10,91.9
2012,6,2012-06-29 15:59:26,95.43
2012,7,2012-07-31 15:11:15,94.5
2012,8,2012-08-31 12:27:51,88.62
2012,9,2012-09-28 14:22:38,83.14
2012,10,2012-10-31 14:37:06,92.5
2012,11,2012-11-30 15:22:26,88.11
2012,12,2012-12-31 15:40:06,80.5255
2013,1,2013-01-31 13:37:06,109.66
2013,2,2013-02-28 14:35:18,89.02
2013,3,2013-03-28 14:11:47,97.758
2013,4,2013-04-30 12:41:57,100.03
2013,5,2013-05-31 15:17:20,96.52
2013,6,2013-06-28 10:50:36,109.309
2013,7,2013-07-31 11:26:52,92.52
2013,8,2013-08-30 13:18:14,115.7
2013,9,2013-09-30 11:24:04,86.67
2013,10,2013-10-31 15:54:53,95.17
2013,11,2013-11-27 14:16:12,89.55
2013,12,2013-12-31 15:53:36,98.08
2014,1,2014-01-31 13:38:12.000,117.14
2014,2,2014-02-28 15:47:04.000,124.13
2014,3,2014-03-31 15:47:55.000,124.4
2014,4,2014-04-30 15:44:35.000,125.0
2014,5,2014-05-30 14:35:10.000,111.42
2014,6,2014-06-30 14:38:44.000,101.02
2014,7,2014-07-31 15:59:38.000,122.42
2014,8,2014-08-29 15:23:23.000,100.75
2014,9,2014-09-30 15:19:11.000,111.51
2014,10,2014-10-31 14:55:19.000,117.87
2014,11,2014-11-28 11:56:52.673,104.814
2014,12,2014-12-31 15:44:35.442,114.48
2015,1,2015-01-30 15:32:31.583,118.38
2015,2,2015-02-27 14:30:44.370,104.58
2015,3,2015-03-31 15:58:13.458,89.35
2015,4,2015-04-30 11:31:04.819,102.6
2015,5,2015-05-29 15:59:21.892,104.0
2015,6,2015-06-30 15:25:00.428,115.68
2015,7,2015-07-31 14:50:42.364,84.17
2015,8,2015-08-31 15:57:02.317,117.73
2015,9,2015-09-30 15:57:25.702,89.0997
2015,10,2015-10-30 13:48:42.402,126.2
2015,11,2015-11-30 12:46:31.393,96.51
2015,12,2015-12-31 15:59:09.235,124.95
2016,1,2016-01-29 15:34:50.355,93.795
2016,2,2016-02-29 15:44:19.258,93.81
2016,3,2016-03-31 14:33:04.978,85.01
2016,4,2016-04-29 15:52:07.405,86.4
2016,5,2016-05-31 13:56:29.832,87.36
2016,6,2016-06-30 15:58:17.557,94.24
2016,7,2016-07-29 15:57:57.327,84.9
2016,8,2016-08-31 15:41:17.393,77.0
2016,9,2016-09-30 15:31:59.437,86.805
2016,10,2016-10-31 15:51:17.654,88.12
2016,11,2016-11-30 15:52:38.949,86.18
2016,12,2016-12-30 15:20:15.200,77.16
2017,1,2017-01-31 15:08:23.833,89.3
2017,2,2017-02-28 14:55:06.760,93.694
2017,3,2017-03-31 14:15:37.196,100.06
2017,4,2017-04-28 15:41:09.142,92.42
2017,5,2017-05-31 15:54:36.040,95.7
2017,6,2017-06-30 12:13:49.440,103.57
2017,7,2017-07-31 15:38:41.000,92.02
2017,8,2017-08-31 14:42:59.400,95.68
2017,9,2017-09-29 14:36:01.910,91.14
2017,10,2017-10-31 11:43:59.077,91.16
2017,11,2017-11-30 15:55:26.068,94.92
2017,12,2017-12-29 13:33:57.323,101.25
2018,1,2018-01-31 15:22:48.481,86.4
2018,2,2018-02-28 15:46:11.107,94.61
2018,3,2018-03-29 11:32:14.481,106.945
2018,4,2018-04-30 15:51:53.554,112.99
2018,5,2018-05-31 14:21:39.326,84.93
2018,6,2018-06-29 13:34:18.086,78.8
2018,7,2018-07-31 13:43:57.768,94.5
2018,8,2018-08-31 15:02:25.392,111.18
2018,9,2018-09-28 15:44:43.141,88.02
2018,10,2018-10-31 15:51:50.369,81.5
2018,11,2018-11-30 14:51:25.781,102.0
2018,12,2018-12-31 15:49:51.650,107.01
2019,1,2019-01-31 13:13:55.862,81.225
2019,2,2019-02-28 15:49:50.488,81.94
2019,3,2019-03-29 15:13:56.348,79.8
2019,4,2019-04-29 14:00:24.801,77.15
2019,5,2019-05-31 15:27:57.002,68.155
2019,6,2019-06-28 11:47:57.093,68.3
2019,7,2019-07-31 14:00:27.978,74.45
2019,8,2019-08-30 15:18:05.388,65.32
2019,9,2019-09-30 14:42:46.598,70.225
2019,10,2019-10-31 14:32:50.369,71.3
2019,11,2019-11-29 11:45:06.964,83.1
2019,12,2019-12-31 11:07:02.741,82.4
2020,1,2020-01-31 13:20:47.913,65.769
2020,2,2020-02-28 15:10:25.793,89.5
2020,3,2020-03-31 13:07:51.244,61.115
2020,4,2020-04-30 14:16:12.809,64.4
2020,5,2020-05-29 14:32:19.029,63.46
2020,6,2020-06-30 15:52:45.252,84.94
2020,7,2020-07-30 15:14:12.862,91.54
2020,8,2020-08-31 15:52:40.950,67.0
2020,9,2020-09-30 13:39:50.070,48.6971
2020,10,2020-10-30 15:14:33.991,65.9
2020,11,2020-11-30 15:45:34.272,54.58
2020,12,2020-12-31 15:50:48.346,65.92
2021,1,2021-01-29 15:51:49.010,111.9
2021,2,2021-02-26 15:37:57.916,86.774
2021,3,2021-03-31 11:46:11.946,103.63
2021,4,2021-04-30 11:54:00.816,108.1
2021,5,2021-05-28 14:06:39.580,86.8474
2021,6,2021-06-30 15:02:36.589,109.0
