year,month,timestamp,price
2007,7,2007-07-26 16:31:32.770,69.13
2007,8,2007-08-23 16:12:56.951,73.51
2007,9,2007-09-26 19:34:16.586,70.14
2007,10,2007-10-31 17:59:03.357,73.59
2007,11,2007-11-20 19:13:17.773,70.42
2007,12,2007-12-28 16:19:33.313,73.9
2008,1,2008-01-31 19:54:53.928,64.74
2008,2,2008-02-29 19:48:37.021,45.48
2008,3,2008-03-31 16:28:32.302,41.25
2008,4,2008-04-30 19:59:38.493,69.87
2008,5,2008-05-30 16:27:46.407,49.05
2008,6,2008-06-30 19:22:52.497,60.31
2008,7,2008-07-31 18:05:32.007,70.97
2008,8,2008-08-29 19:54:07.113,57.6
2008,9,2008-09-30 17:20:28.140,47.0
2008,10,2008-10-31 16:50:31.303,40.9
2008,11,2008-11-28 15:04:33.997,45.36
2008,12,2008-12-31 17:59:27.730,72.3578
2009,1,2009-01-30 19:33:41.807,40.47
2009,2,2009-02-27 19:53:13.067,50.99
2009,3,2009-03-31 18:20:24.703,49.11
2009,4,2009-04-30 19:06:42.700,49.97
2009,5,2009-05-29 19:29:56.433,49.79
2009,6,2009-06-30 18:56:30.823,56.42
2009,7,2009-07-31 19:39:57.617,40.16
2009,8,2009-08-31 19:43:16.597,58.35
2009,9,2009-09-30 19:59:53.137,40.03
2009,10,2009-10-30 18:58:22.597,48.3
2009,11,2009-11-30 18:32:23.747,57.97
2009,12,2009-12-31 19:59:56.240,52.26
2010,1,2010-01-29 18:38:15.920,50.19
2010,2,2010-02-26 19:47:02.430,38.5
2010,3,2010-03-31 19:32:15.730,30.88
2010,4,2010-04-30 19:59:40.333,29.78
2010,5,2010-05-28 19:59:54.167,41.03
2010,6,2010-06-30 19:59:36.540,43.07
2010,7,2010-07-30 19:57:14.007,44.0
2010,8,2010-08-31 19:59:56.647,34.79
2010,9,2010-09-30 19:56:17.033,44.23
2010,10,2010-10-29 19:01:45.790,59.11
2010,11,2010-11-30 18:59:52.537,36.64
2010,12,2010-12-31 19:23:24.183,55.28
2011,1,2011-01-31 20:00:00.687,43.7
2011,2,2011-02-28 19:58:05.527,47.32
2011,3,2011-03-31 19:04:01.823,39.22
2011,4,2011-04-29 19:44:28.774,39.06
2011,5,2011-05-31 19:55:26.353,42.1
2011,6,2011-06-30 19:36:36.436,43.52
2011,7,2011-07-29 19:59:16.506,38.75
2011,8,2011-08-31 17:25:36.613,44.4899
2011,9,2011-09-30 19:58:44.841,46.12
2011,10,2011-10-31 19:59:16.961,47.225
2011,11,2011-11-30 18:39:03.218,37.92
2011,12,2011-12-30 18:18:58.665,46.0218
2012,1,2012-01-31 19:59:18.996,40.08
2012,2,2012-02-29 19:50:25.718,46.46
2012,3,2012-03-30 19:24:37.070,38.89
2012,4,2012-04-30 19:57:57.652,37.31
2012,5,2012-05-31 19:59:53.492,42.28
2012,6,2012-06-29 19:07:27.366,41.63
2012,7,2012-07-31 19:50:52.068,46.67
2012,8,2012-08-31 19:45:09.941,46.21
2012,9,2012-09-28 17:09:51.596,46.4
2012,10,2012-10-31 19:50:45.212,38.75
2012,11,2012-11-30 18:43:08.478,41.59
2012,12,2012-12-31 19:52:14.621,42.34
2013,1,2013-01-31 19:58:37.592,44.61
2013,2,2013-02-28 18:38:47.253,44.12
2013,3,2013-03-28 19:45:20.439,42.21
2013,4,2013-04-30 19:33:29.614,42.9
2013,5,2013-05-31 18:31:24.583,44.07
2013,6,2013-06-28 19:51:24.873,46.69
2013,7,2013-07-31 19:55:04.173,41.65
2013,8,2013-08-30 19:59:24.077,42.57
2013,9,2013-09-30 19:45:47.938,41.765
2013,10,2013-10-31 19:38:36.443,46.93
2013,11,2013-11-29 16:45:39.932,43.43
2013,12,2013-12-31 17:36:17.638,46.49
2014,1,2014-01-31 19:15:17.497,49.85
2014,2,2014-02-28 19:29:03.091,46.75
2014,3,2014-03-31 18:12:09.312,42.74
2014,4,2014-04-30 19:50:34.277,35.41
2014,5,2014-05-30 19:52:53.501,43.04
2014,6,2014-06-30 17:16:48.723,48.58
2014,7,2014-07-31 19:59:11.854,43.21
2014,8,2014-08-29 17:29:54.901,41.45
2014,9,2014-09-30 19:31:01.420,50.52
2014,10,2014-10-31 19:42:39.668,50.45
2014,11,2014-11-28 16:43:37.414,49.96
2014,12,2014-12-31 19:35:40.463,43.88
2015,1,2015-01-30 19:50:08.113,41.55
2015,2,2015-02-27 18:28:27.581,33.24
2015,3,2015-03-31 19:14:21.207,40.15
2015,4,2015-04-30 18:15:19.027,41.43
2015,5,2015-05-29 18:23:53.097,41.41
2015,6,2015-06-30 19:24:24.746,39.97
2015,7,2015-07-31 19:51:43.990,34.41
2015,8,2015-08-31 19:58:25.982,35.37
2015,9,2015-09-30 18:09:47.252,36.45
2015,10,2015-10-30 19:59:44.850,33.78
2015,11,2015-11-30 19:38:33.455,34.8563
2015,12,2015-12-31 18:01:34.179,33.97
2016,1,2016-01-29 19:57:51.492,36.51
2016,2,2016-02-29 19:56:48.196,33.7466
2016,3,2016-03-31 19:49:23.588,30.4295
2016,4,2016-04-29 19:44:41.681,28.65
2016,5,2016-05-31 19:59:28.879,31.89
2016,6,2016-06-30 19:58:45.145,33.18
2016,7,2016-07-29 19:40:48.745,32.22
2016,8,2016-08-31 19:13:14.040,33.82
2016,9,2016-09-30 18:46:33.723,33.18
2016,10,2016-10-31 19:57:05.271,35.14
2016,11,2016-11-30 19:58:04.833,36.5937
2016,12,2016-12-30 18:13:07.297,31.19
2017,1,2017-01-31 19:52:29.328,36.01
2017,2,2017-02-28 19:57:45.697,35.98
2017,3,2017-03-31 19:14:27.381,34.31
2017,4,2017-04-28 19:53:37.335,34.595
2017,5,2017-05-31 19:37:48.371,39.6
2017,6,2017-06-30 16:45:48.017,34.35
2017,7,2017-07-31 19:30:29.675,35.73
2017,8,2017-08-31 19:51:46.812,35.17
2017,9,2017-09-29 19:54:26.044,40.6825
2017,10,2017-10-31 17:55:39.364,34.49
2017,11,2017-11-30 19:59:26.836,35.02
2017,12,2017-12-29 19:34:09.233,34.32
2018,1,2018-01-31 17:47:39.623,44.34
2018,2,2018-02-28 19:06:25.108,39.605
2018,3,2018-03-29 18:27:15.058,42.6
2018,4,2018-04-30 19:59:36.603,40.355
2018,5,2018-05-31 19:28:18.220,46.09
2018,6,2018-06-29 19:46:14.866,40.53
2018,7,2018-07-31 19:56:07.438,40.12
2018,8,2018-08-31 19:59:31.006,37.33
2018,9,2018-09-28 19:59:47.225,44.375
2018,10,2018-10-31 19:44:37.248,46.36
2018,11,2018-11-30 19:53:35.557,42.56
2018,12,2018-12-31 19:41:51.097,39.91
2019,1,2019-01-31 19:36:16.792,39.21
2019,2,2019-02-28 18:42:28.432,43.16
2019,3,2019-03-29 17:59:45.998,42.84
2019,4,2019-04-30 19:27:13.091,41.1127
2019,5,2019-05-31 18:23:01.489,41.36
2019,6,2019-06-28 17:57:15.179,43.85
2019,7,2019-07-31 19:50:14.275,37.61
2019,8,2019-08-30 18:55:22.108,38.585
2019,9,2019-09-30 18:30:00.005,37.97
2019,10,2019-10-31 18:30:00.004,45.14
2019,11,2019-11-29 17:00:00.005,37.23
2019,12,2019-12-31 19:59:51.452,42.81
2020,1,2020-01-31 19:59:11.457,18.14
2020,2,2020-02-28 19:59:25.167,17.23
2020,3,2020-03-31 19:59:44.061,38.8
2020,4,2020-04-30 19:59:28.328,21.3764
2020,5,2020-05-29 19:57:43.236,19.02
2020,6,2020-06-30 19:50:19.573,21.255
2020,7,2020-07-31 19:59:48.283,35.955
2020,8,2020-08-31 19:59:46.017,23.27
2020,9,2020-09-30 19:59:59.358,17.25
2020,10,2020-10-30 19:59:08.296,17.36
2020,11,2020-11-30 19:58:48.962,24.0
2020,12,2020-12-31 19:59:50.437,20.45
2021,1,2021-01-29 19:59:44.509,22.99
2021,2,2021-02-26 19:59:27.105,26.36
2021,3,2021-03-31 19:59:50.654,21.86
2021,4,2021-04-30 19:59:11.308,27.295
2021,5,2021-05-28 19:53:08.234,23.11
2021,6,2021-06-30 19:59:41.372,24.55
