year,month,timestamp,price
2012,5,2012-05-31 19:59:57.377,25.73
2012,6,2012-06-29 19:59:23.776,27.65
2012,7,2012-07-31 19:59:59.930,21.0
2012,8,2012-08-31 19:59:51.123,21.96
2012,9,2012-09-28 19:59:46.891,20.22
2012,10,2012-10-31 19:59:56.030,23.2
2012,11,2012-11-30 19:59:57.359,27.92
2012,12,2012-12-31 19:59:09.724,27.7799
2013,1,2013-01-31 19:59:56.680,44.96
2013,2,2013-02-28 19:57:18.018,49.05
2013,3,2013-03-28 19:59:53.596,54.17
2013,4,2013-04-30 19:58:59.610,36.97
2013,5,2013-05-31 19:59:38.678,49.5
2013,6,2013-06-28 19:59:19.902,27.07
2013,7,2013-07-31 19:59:39.289,48.801
2013,8,2013-08-30 19:59:47.822,57.8486
2013,9,2013-09-30 19:59:59.081,31.9
2013,10,2013-10-31 19:59:54.168,54.26
2013,11,2013-11-29 16:59:40.440,48.99
2013,12,2013-12-31 19:59:57.055,48.9
2014,1,2014-01-31 19:59:56.929,58.02
2014,2,2014-02-28 19:59:56.601,78.93
2014,3,2014-03-31 19:59:55.051,56.14
2014,4,2014-04-30 19:59:53.449,62.237
2014,5,2014-05-30 19:59:47.705,62.44
2014,6,2014-06-30 19:59:47.557,76.23
2014,7,2014-07-31 19:59:50.696,57.97
2014,8,2014-08-29 19:59:39.060,67.6236
2014,9,2014-09-30 19:59:20.061,74.88
2014,10,2014-10-31 19:59:54.451,57.458
2014,11,2014-11-28 16:59:52.827,72.12
2014,12,2014-12-31 19:59:59.353,74.86
2015,1,2015-01-30 19:59:49.629,81.1
2015,2,2015-02-27 19:59:55.309,87.49
2015,3,2015-03-31 19:59:47.184,83.14
2015,4,2015-04-30 19:59:44.626,94.8
2015,5,2015-05-29 19:58:39.089,96.8
2015,6,2015-06-30 19:29:58.935,74.98
2015,7,2015-07-31 19:59:42.225,97.201
2015,8,2015-08-31 19:59:55.750,94.42
2015,9,2015-09-30 19:59:47.304,103.48
2015,10,2015-10-30 19:59:43.208,82.32
2015,11,2015-11-30 19:59:36.682,92.41
2015,12,2015-12-31 19:59:19.407,94.75
2016,1,2016-01-29 19:59:58.963,102.5
2016,2,2016-02-29 19:59:55.869,117.06
2016,3,2016-03-31 19:59:51.375,126.5
2016,4,2016-04-29 19:59:41.014,101.32
2016,5,2016-05-31 19:59:54.183,113.68
2016,6,2016-06-30 19:59:44.938,112.12
2016,7,2016-07-29 19:59:50.004,108.979
2016,8,2016-08-31 19:59:51.690,114.395
2016,9,2016-09-30 19:59:38.071,126.45
2016,10,2016-10-31 19:59:07.445,121.06
2016,11,2016-11-30 19:59:59.043,119.74
2016,12,2016-12-30 19:59:57.839,128.92
2017,1,2017-01-31 19:59:58.107,130.9193
2017,2,2017-02-28 19:59:36.081,134.95
2017,3,2017-03-31 19:59:54.580,168.63
2017,4,2017-04-28 19:59:05.880,150.72
2017,5,2017-05-31 19:59:45.837,171.5
2017,6,2017-06-30 19:57:13.284,172.12
2017,7,2017-07-31 19:59:57.551,174.44
2017,8,2017-08-31 19:59:22.684,151.67
2017,9,2017-09-29 19:55:43.820,169.4
2017,10,2017-10-31 19:59:52.751,127.88
2017,11,2017-11-30 19:59:55.317,137.68
2017,12,2017-12-29 19:59:18.696,179.15
2018,1,2018-01-31 19:59:56.081,167.96
2018,2,2018-02-28 19:59:53.771,173.61
2018,3,2018-03-29 19:59:56.263,149.12
2018,4,2018-04-30 19:59:57.101,180.22
2018,5,2018-05-31 19:59:58.145,201.65
2018,6,2018-06-29 19:59:36.299,130.23
2018,7,2018-07-31 19:59:38.113,165.57
2018,8,2018-08-31 19:59:55.483,140.0
2018,9,2018-09-28 19:59:58.173,154.41
2018,10,2018-10-31 19:59:46.402,199.95
2018,11,2018-11-30 19:56:49.087,163.0
2018,12,2018-12-31 19:59:54.298,181.72
2019,1,2019-01-31 19:59:47.646,163.05
2019,2,2019-02-28 19:57:48.872,205.9167
2019,3,2019-03-29 19:59:43.092,180.6
2019,4,2019-04-30 19:59:55.442,185.1
2019,5,2019-05-31 19:59:58.650,185.9
2019,6,2019-06-28 19:59:22.432,192.89
2019,7,2019-07-31 19:59:54.288,189.985
2019,8,2019-08-30 19:58:19.947,177.3
2019,9,2019-09-30 19:59:22.820,187.42
2019,10,2019-10-31 19:59:49.081,183.94
2019,11,2019-11-29 16:58:15.981,177.2899
2019,12,2019-12-31 19:59:49.086,183.45
2020,1,2020-01-31 19:59:56.780,177.01
2020,2,2020-02-28 19:59:58.840,209.94
2020,3,2020-03-31 19:59:58.076,226.89
2020,4,2020-04-30 19:59:54.521,235.17
2020,5,2020-05-29 19:59:53.826,296.08
2020,6,2020-06-30 19:59:51.764,229.045
2020,7,2020-07-31 19:59:57.750,244.61
2020,8,2020-08-31 19:59:52.889,189.55
2020,9,2020-09-30 19:59:56.260,234.0
2020,10,2020-10-30 19:59:55.661,229.9311
2020,11,2020-11-30 19:59:53.597,267.89
2020,12,2020-12-31 19:59:43.796,201.58
2021,1,2021-01-29 19:59:53.307,251.18
2021,2,2021-02-26 19:59:53.644,267.95
2021,3,2021-03-31 19:59:59.074,261.26
2021,4,2021-04-30 19:59:57.426,259.11
2021,5,2021-05-28 19:59:45.692,270.06
2021,6,2021-06-30 19:59:49.958,260.01
