timestamp;price
31.05.2012;25,73
29.06.2012;27,65
31.07.2012;21
31.08.2012;21,96
28.09.2012;20,22
31.10.2012;23,2
30.11.2012;27,92
31.12.2012;27,7799
31.01.2013;44,96
28.02.2013;49,05
28.03.2013;54,17
30.04.2013;36,97
31.05.2013;49,5
28.06.2013;27,07
31.07.2013;48,801
30.08.2013;57,8486
30.09.2013;31,9
31.10.2013;54,26
29.11.2013;48,99
31.12.2013;48,9
31.01.2014;58,02
28.02.2014;78,93
31.03.2014;56,14
30.04.2014;62,237
30.05.2014;62,44
30.06.2014;76,23
31.07.2014;57,97
29.08.2014;67,6236
30.09.2014;74,88
31.10.2014;57,458
28.11.2014;72,12
31.12.2014;74,86
30.01.2015;81,1
27.02.2015;87,49
31.03.2015;83,14
30.04.2015;94,8
29.05.2015;96,8
30.06.2015;74,98
31.07.2015;97,201
31.08.2015;94,42
30.09.2015;103,48
30.10.2015;82,32
30.11.2015;92,41
31.12.2015;94,75
29.01.2016;102,5
29.02.2016;117,06
31.03.2016;126,5
29.04.2016;101,32
31.05.2016;113,68
30.06.2016;112,12
29.07.2016;108,979
31.08.2016;114,395
30.09.2016;126,45
31.10.2016;121,06
30.11.2016;119,74
30.12.2016;128,92
31.01.2017;130,9193
28.02.2017;134,95
31.03.2017;168,63
28.04.2017;150,72
31.05.2017;171,5
30.06.2017;172,12
31.07.2017;174,44
31.08.2017;151,67
29.09.2017;169,4
31.10.2017;127,88
30.11.2017;137,68
29.12.2017;179,15
31.01.2018;167,96
28.02.2018;173,61
29.03.2018;149,12
30.04.2018;180,22
31.05.2018;201,65
29.06.2018;130,23
31.07.2018;165,57
31.08.2018;140
28.09.2018;154,41
31.10.2018;199,95
30.11.2018;163
31.12.2018;181,72
31.01.2019;163,05
28.02.2019;205,9167
29.03.2019;180,6
30.04.2019;185,1
31.05.2019;185,9
28.06.2019;192,89
31.07.2019;189,985
30.08.2019;177,3
30.09.2019;187,42
31.10.2019;183,94
29.11.2019;177,2899
31.12.2019;183,45
31.01.2020;177,01
28.02.2020;209,94
31.03.2020;226,89
30.04.2020;235,17
29.05.2020;296,08
30.06.2020;229,045
31.07.2020;244,61
31.08.2020;189,55
30.09.2020;234
30.10.2020;229,9311
30.11.2020;267,89
31.12.2020;201,58
29.01.2021;251,18
26.02.2021;267,95
31.03.2021;261,26
30.04.2021;259,11
28.05.2021;270,06
30.06.2021;260,01
