timestamp;price
31.10.2008;1000
28.11.2008;1000
30.12.2008;513,5
28.01.2009;306
20.02.2009;117,75
31.03.2009;117,5
24.04.2009;125
28.05.2009;153,75
12.06.2009;150,5
30.07.2009;165
28.08.2009;181,75
25.09.2009;201
26.10.2009;336,0645
30.11.2009;112,75
31.12.2009;333
29.01.2010;85,7
25.02.2010;88,45
30.03.2010;94,5
30.04.2010;100
28.05.2010;93,35
30.06.2010;137
29.07.2010;95
27.08.2010;97
27.09.2010;91,8
26.10.2010;88,2309
30.11.2010;140,75
31.12.2010;86,75
28.01.2011;169,25
28.02.2011;153,65
28.03.2011;152,35
29.04.2011;176
31.05.2011;193,75
30.06.2011;127
29.07.2011;145,625
31.08.2011;154,75
30.09.2011;147,69
31.10.2011;167,5015
29.11.2011;166
30.12.2011;143,25
31.01.2012;166,65
27.02.2012;153,2
29.03.2012;165,15
30.04.2012;164
31.05.2012;168
29.06.2012;144,35
31.07.2012;140,169
27.08.2012;153,25
28.09.2012;143,6375
31.10.2012;169,3
30.11.2012;167,5
27.12.2012;165,005
31.01.2013;221,2
28.02.2013;218,05
26.03.2013;230
30.04.2013;216,25
31.05.2013;199,4
27.06.2013;222
30.07.2013;232,98
30.08.2013;229,2
30.09.2013;248,7
31.10.2013;250,4
29.11.2013;215,58
30.12.2013;205
31.01.2014;269,25
28.02.2014;199,7665
31.03.2014;226,45
30.04.2014;215,3
30.05.2014;243,8999
27.06.2014;256,8
31.07.2014;226
29.08.2014;267,22
30.09.2014;245,3
31.10.2014;253,5
28.11.2014;258,2
31.12.2014;223,55
30.01.2015;119
27.02.2015;155
31.03.2015;254
30.04.2015;148
29.05.2015;150,45
30.06.2015;133,85
31.07.2015;137
31.08.2015;113,5
30.09.2015;133,73
30.10.2015;138,62
30.11.2015;134,75
31.12.2015;151,4
29.01.2016;143,76
29.02.2016;137,53
31.03.2016;145,5
29.04.2016;140
31.05.2016;157,75
30.06.2016;144
29.07.2016;136,65
31.08.2016;135
30.09.2016;147,25
31.10.2016;156,5
30.11.2016;131,29
30.12.2016;141
31.01.2017;156,4
28.02.2017;150,48
31.03.2017;150,35
28.04.2017;197,77
31.05.2017;195,2
29.06.2017;182,18
31.07.2017;161,51
31.08.2017;159
29.09.2017;154,155
30.10.2017;171,4825
30.11.2017;161
29.12.2017;152,39
31.01.2018;170,99
28.02.2018;153,4
29.03.2018;164,01
30.04.2018;178,25
31.05.2018;171,6
29.06.2018;157,35
31.07.2018;160,68
31.08.2018;188
28.09.2018;184,04
31.10.2018;208,5
30.11.2018;157,46
31.12.2018;152,83
31.01.2019;171,18
28.02.2019;187,09
29.03.2019;178,63
30.04.2019;175
31.05.2019;159
28.06.2019;165,785
31.07.2019;166,02
30.08.2019;175
30.09.2019;192,04
31.10.2019;159,05
29.11.2019;200
31.12.2019;176,25
31.01.2020;190
28.02.2020;164,96
31.03.2020;176
30.04.2020;203,5
29.05.2020;176
30.06.2020;160,95
31.07.2020;169,375
31.08.2020;127,15
30.09.2020;178,45
30.10.2020;198,61
30.11.2020;193,05
31.12.2020;174
29.01.2021;390,25
26.02.2021;364,5
31.03.2021;389,95
30.04.2021;346,13
28.05.2021;317
30.06.2021;253,5
